🌏上海电信,#group#

超清,#genre#
4K测试,http://cjdx.zyfqh.top:9988/udp/239.45.1.109:5140
4K高清,http://cjdx.zyfqh.top:9988/udp/239.45.0.33:5140
CCTV4K,http://cjdx.zyfqh.top:9988/udp/239.45.0.55:5140
CCTV4K,http://cjdx.zyfqh.top:9988/udp/233.18.204.204:5140
CCTV16 4K,http://cjdx.zyfqh.top:9988/udp/233.18.204.215:5140
北京卫视4K,http://cjdx.zyfqh.top:9988/udp/233.18.204.209:5140
北京卫视4K,http://cjdx.zyfqh.top:9988/udp/239.45.3.123:5140
广东卫视4K,http://cjdx.zyfqh.top:9988/udp/233.18.204.218:5140
欢笑剧场4K,http://cjdx.zyfqh.top:9988/udp/239.45.1.4:5140
欢笑剧场4K,http://cjdx.zyfqh.top:9988/udp/233.18.204.205:5140
深圳卫视4K,http://cjdx.zyfqh.top:9988/udp/233.18.204.219:5140

东方卫视4K,http://cjdx.zyfqh.top:9988/udp/233.18.204.224:5140
四川卫视4K,http://cjdx.zyfqh.top:9988/udp/233.18.204.225:5140
四川卫视4K,http://cjdx.zyfqh.top:9988/udp/239.45.3.48:5140
江苏卫视4K,http://cjdx.zyfqh.top:9988/udp/233.18.204.226:5140
湖南卫视4K,http://cjdx.zyfqh.top:9988/udp/233.18.204.227:5140
山东卫视4K,http://cjdx.zyfqh.top:9988/udp/233.18.204.228:5140
山东卫视4K,http://cjdx.zyfqh.top:9988/udp/239.45.3.180:5140
浙江卫视4K,http://cjdx.zyfqh.top:9988/udp/233.18.204.229:5140


BesTV4K电影,http://cjdx.zyfqh.top:9988/udp/239.45.1.9:5140
BesTV4K电影,http://cjdx.zyfqh.top:9988/udp/239.45.1.42:5140
BesTV4K电影,http://cjdx.zyfqh.top:9988/udp/239.45.3.107:5140
BesTV4K动画,http://cjdx.zyfqh.top:9988/udp/239.45.1.1:5140
BesTV4K动画,http://cjdx.zyfqh.top:9988/udp/239.45.1.11:5140
BesTV4K纪录,http://cjdx.zyfqh.top:9988/udp/239.45.1.10:5140


央视,#genre#
CCTV1,http://cjdx.zyfqh.top:9988/udp/239.45.1.21:5140
CCTV1,http://cjdx.zyfqh.top:9988/udp/239.45.3.88:5140
CCTV1,http://cjdx.zyfqh.top:9988/udp/239.45.3.145:5140
CCTV2,http://cjdx.zyfqh.top:9988/udp/239.45.0.1:5140
CCTV2,http://cjdx.zyfqh.top:9988/udp/239.45.3.208:5140
CCTV3,http://cjdx.zyfqh.top:9988/udp/239.45.1.68:5140
CCTV4,http://cjdx.zyfqh.top:9988/udp/239.45.0.2:5140
CCTV4,http://cjdx.zyfqh.top:9988/udp/239.45.0.21:5140
CCTV5,http://cjdx.zyfqh.top:9988/udp/239.45.1.69:5140
CCTV5,http://cjdx.zyfqh.top:9988/udp/239.45.0.34:5140
CCTV6,http://cjdx.zyfqh.top:9988/udp/239.45.1.70:5140
CCTV7,http://cjdx.zyfqh.top:9988/udp/239.45.3.56:5140
CCTV8,http://cjdx.zyfqh.top:9988/udp/239.45.1.71:5140
CCTV9,http://cjdx.zyfqh.top:9988/udp/239.45.3.4:5140
CCTV10,http://cjdx.zyfqh.top:9988/udp/239.45.3.8:5140
CCTV11,http://cjdx.zyfqh.top:9988/udp/239.45.0.18:5140
CCTV12,http://cjdx.zyfqh.top:9988/udp/239.45.3.10:5140
CCTV12,http://cjdx.zyfqh.top:9988/udp/239.45.3.124:5140
CCTV13,http://cjdx.zyfqh.top:9988/udp/239.45.0.19:5140
CCTV14,http://cjdx.zyfqh.top:9988/udp/239.45.3.23:5140
CCTV14,http://cjdx.zyfqh.top:9988/udp/239.45.3.125:5140
CCTV15,http://cjdx.zyfqh.top:9988/udp/239.45.0.20:5140
CCTV15,http://cjdx.zyfqh.top:9988/udp/239.45.3.126:5140
CCTV16,http://cjdx.zyfqh.top:9988/udp/239.45.0.10:5140
CCTV16,http://cjdx.zyfqh.top:9988/udp/239.45.0.12:5140
CCTV17,http://cjdx.zyfqh.top:9988/udp/239.45.3.52:5140
CCTV17,http://cjdx.zyfqh.top:9988/udp/239.45.3.251:5140
CETV1,http://cjdx.zyfqh.top:9988/udp/239.45.1.125:5140
CETV4,http://cjdx.zyfqh.top:9988/udp/239.45.1.243:5140
CETV早期教育,http://cjdx.zyfqh.top:9988/udp/239.45.0.54:5140
中国天气,http://cjdx.zyfqh.top:9988/udp/239.45.3.141:5140


数字,#genre#
CCTV兵器科技,http://cjdx.zyfqh.top:9988/udp/239.45.0.45:5140
CCTV兵器科技,http://cjdx.zyfqh.top:9988/udp/239.45.1.74:5140
CCTV第一剧场,http://cjdx.zyfqh.top:9988/udp/239.45.0.51:5140
CCTV电视指南,http://cjdx.zyfqh.top:9988/udp/239.45.1.73:5140
CCTV风云剧场,http://cjdx.zyfqh.top:9988/udp/239.45.0.50:5140
CCTV风云音乐,http://cjdx.zyfqh.top:9988/udp/239.45.0.52:5140
CCTV风云足球,http://cjdx.zyfqh.top:9988/udp/239.45.0.43:5140
CCTV风云足球,http://cjdx.zyfqh.top:9988/udp/239.45.1.75:5140
CCTV高尔夫网球,http://cjdx.zyfqh.top:9988/udp/239.45.0.48:5140
CCTV高尔夫网球,http://cjdx.zyfqh.top:9988/udp/239.45.1.72:5140
